#t x y z vx vy vz
0.00 -476.22 491.44 -412.41 45.33 101.98 142.02
0.07 -472.95 498.95 -402.04 48.24 106.43 147.11
0.14 -469.31 506.75 -391.36 58.54 111.42 150.78
0.21 -464.94 514.98 -380.31 63.14 116.57 159.97
0.29 -460.10 523.46 -368.46 71.81 123.80 170.88
0.36 -454.54 532.59 -355.76 81.39 129.04 183.43
0.43 -448.10 541.96 -342.36 96.31 133.64 191.17
0.50 -440.90 551.43 -328.53 108.41 135.03 202.87
0.57 -432.44 561.14 -313.84 130.05 136.89 210.53
0.64 -422.29 570.89 -298.25 153.81 133.87 222.67
0.71 -410.45 580.34 -281.70 177.90 126.65 235.18
0.79 -396.70 588.86 -264.64 205.42 113.67 242.98
0.86 -380.91 596.26 -247.17 236.44 93.19 247.58
0.93 -362.70 601.80 -229.41 263.48 59.81 245.42
1.00 -343.30 605.11 -212.11 280.17 32.02 237.29
1.07 -323.07 606.34 -195.61 287.86 1.99 220.24
1.14 -302.65 605.52 -180.45 286.56 -25.16 203.89
1.21 -282.30 602.79 -166.47 281.44 -53.33 186.60
1.29 -262.54 598.36 -153.56 271.24 -68.65 175.54
1.36 -243.40 592.97 -141.35 262.72 -81.43 164.15
1.43 -224.84 586.56 -130.16 256.69 -96.41 150.28
1.50 -206.97 579.30 -119.82 244.56 -107.60 139.31
1.57 -189.86 571.29 -110.35 237.02 -115.53 129.87
1.64 -173.30 562.82 -101.42 227.44 -122.79 119.67
1.71 -157.33 553.80 -93.08 217.70 -131.02 112.45
1.79 -142.17 544.24 -85.40 207.54 -135.56 104.80
1.86 -127.68 534.38 -78.19 199.10 -141.78 98.47
1.93 -113.68 524.06 -71.44 190.69 -147.65 90.26
2.00 -100.29 513.29 -65.17 182.50 -155.01 84.07
2.07 -87.64 502.08 -59.30 171.14 -157.59 79.95
2.14 -75.69 490.79 -53.86 168.14 -157.21 73.46
2.21 -63.99 479.38 -48.94 156.66 -161.27 68.14
2.29 -52.98 467.62 -44.13 149.97 -165.40 63.31
2.36 -42.38 455.61 -39.88 144.12 -170.01 58.46
2.43 -32.36 443.39 -35.73 134.61 -170.64 56.20
2.50 -23.06 431.08 -31.83 124.32 -176.33 51.56
2.57 -14.37 418.42 -28.18 116.45 -179.02 47.28
2.64 -6.25 405.46 -24.91 111.43 -185.65 44.29
2.71 1.36 392.09 -22.01 102.79 -186.96 38.35
2.79 8.54 378.66 -19.49 97.64 -189.99 33.24
2.86 15.21 364.89 -17.08 88.88 -195.97 29.90
2.93 21.00 350.72 -15.07 76.87 -200.40 24.60
3.00 26.23 336.34 -13.36 68.85 -203.26 21.76
3.07 30.76 321.64 -11.78 58.21 -207.92 18.73
3.14 34.52 306.55 -10.59 47.62 -213.86 15.54
3.21 37.49 291.15 -9.83 36.78 -218.24 8.78
3.29 39.50 275.33 -9.48 20.88 -223.21 3.25
3.36 40.36 259.28 -9.35 4.84 -228.19 -0.96
3.43 40.20 242.82 -9.53 -13.28 -231.92 -7.11
3.50 38.43 226.07 -10.27 -32.21 -238.68 -14.07
3.57 35.50 208.78 -11.49 -54.35 -244.94 -20.52
3.64 30.87 191.18 -13.29 -79.97 -246.20 -32.18
3.71 24.00 173.66 -16.03 -113.68 -243.07 -44.04
3.79 14.48 156.60 -19.65 -152.04 -232.36 -56.77
3.86 2.47 140.76 -24.24 -188.07 -210.41 -71.71
3.93 -12.02 126.70 -29.65 -219.98 -178.96 -81.13
4.00 -28.67 115.67 -35.70 -246.16 -128.94 -86.13
4.07 -47.00 108.42 -41.57 -260.07 -70.27 -78.51
4.14 -65.32 105.74 -46.97 -250.82 -1.98 -66.68
4.21 -82.23 108.14 -51.00 -219.33 69.45 -47.08
4.29 -96.03 115.23 -53.70 -166.14 123.71 -29.06
4.36 -105.59 125.36 -55.00 -104.64 154.61 -10.30
4.43 -111.04 137.01 -55.05 -46.87 169.03 6.86
4.50 -112.60 149.11 -54.13 1.30 169.70 16.36
4.57 -111.12 161.09 -52.68 39.51 165.45 25.65
4.64 -107.07 172.70 -50.59 71.78 160.42 30.74
4.71 -100.87 183.86 -48.17 100.63 153.76 39.51
4.79 -92.71 194.45 -45.02 125.20 145.91 49.60
4.86 -82.91 204.63 -41.14 148.53 137.66 59.54
4.93 -71.64 214.18 -36.40 167.29 129.80 72.00
5.00 -59.15 223.24 -30.84 183.15 123.04 85.71
5.07 -45.28 231.98 -23.99 206.16 120.56 106.50
5.14 -29.80 240.37 -15.12 230.51 113.40 144.49
5.21 -12.44 247.62 -2.60 255.37 86.43 213.29
5.29 5.41 250.79 15.27 232.31 -6.17 277.17
5.36 20.03 247.46 34.68 179.64 -81.37 260.13
5.43 31.44 240.48 51.84 142.06 -112.76 221.12
5.50 40.69 231.85 66.18 117.72 -131.76 184.19
5.57 48.55 222.06 78.45 94.24 -142.63 156.85
5.64 54.85 211.45 88.70 77.61 -149.66 128.57
5.71 59.98 200.52 97.14 62.91 -158.00 104.51
5.79 64.13 189.07 103.88 50.52 -162.12 81.83
5.86 67.27 177.33 108.81 33.83 -167.50 58.07
5.93 68.70 165.20 111.96 20.19 -167.62 36.57
6.00 69.91 153.20 113.75 6.92 -168.64 11.75
6.07 70.41 141.47 114.09 -4.00 -166.24 -11.19
6.14 69.32 129.65 112.12 -18.61 -160.98 -36.47
6.21 67.43 118.37 108.39 -31.99 -155.34 -65.97
6.29 64.13 107.62 102.27 -46.99 -142.30 -98.41
6.36 60.18 98.10 94.13 -63.88 -125.74 -129.67
6.43 55.13 89.88 83.65 -76.65 -102.68 -162.54
6.50 49.24 83.62 70.77 -89.35 -71.85 -197.73
6.57 42.30 80.08 55.54 -102.23 -25.93 -228.47
6.64 34.85 80.29 38.16 -107.50 34.56 -254.40
6.71 27.17 85.58 19.90 -99.78 115.47 -253.71
6.79 20.86 96.46 2.76 -75.98 186.29 -217.92
6.86 16.66 111.35 -10.51 -39.43 224.78 -151.68
6.93 15.00 127.73 -19.15 -8.11 231.36 -89.83
7.00 15.50 143.84 -23.52 19.79 216.58 -37.57
7.07 17.47 158.51 -24.66 39.33 195.27 4.14
7.14 21.04 171.63 -23.29 55.17 172.53 36.18
7.21 25.36 182.92 -19.81 66.23 145.91 62.14
7.29 30.44 192.39 -14.37 77.25 120.00 85.97
7.36 36.31 199.92 -7.57 85.88 91.28 104.29
7.43 42.79 205.43 0.44 93.25 64.46 121.33
7.50 49.63 208.98 9.61 99.23 32.72 134.49
7.57 56.84 210.23 19.54 103.35 2.69 144.65
7.64 64.21 209.30 30.19 103.24 -29.86 153.59
7.71 71.55 206.01 41.52 102.67 -64.64 161.59
7.79 78.93 200.18 53.20 104.93 -101.46 162.89
7.86 86.31 191.55 64.72 102.30 -140.14 161.73
7.93 93.64 179.90 76.16 96.01 -186.15 156.81
